HERCULES is running
Intialising 
	 Reading input file 
	 Run name: Earth_correct_params_S3.20c_L3_N100_Nm1000_k6_f121_p10_l1_0_1.5
	 Input file read successful
	 Initialisation by reading start file ../../Earth_correct_params_S3.20c/Earth_correct_params_S3.20c_AM2.1/Output/Earth_correct_params_S3.20c_L2.1_N100_Nm1000_k6_f121_p10_l1_0_1.5_final
	 Initialisation complete
Itterating
	 Main Itteration # 	 convergence 	 a 	 aspect 	 ellipticity 	 l 	 omega_rot 	 Mass error 	 AM error 
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	5	2.29877e-08	2.66014e+11	8.9202e+06	0.000745104	0	1.7419e-15
	 	 	6	1.88446e-08	2.66014e+11	8.9202e+06	0.000745104	0	2.78704e-15
	 	 	7	6.52568e-09	2.66014e+11	8.9202e+06	0.000745104	0	-8.70951e-16
	 17	2.90328e-06	8.9202e+06	0.487331	0.873217	1.79183	0.000745104	1.79787e-16	-8.70951e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.66014e+11	8.92013e+06	0.000745104	0	-4.18057e-15
	 	 	2	1.98489e-06	2.66014e+11	8.92013e+06	0.000745105	0	6.96761e-16
	 	 	3	6.65324e-07	2.66014e+11	8.92013e+06	0.000745105	0	1.7419e-15
	 	 	4	9.23877e-08	2.66014e+11	8.92013e+06	0.000745105	0	-5.74828e-15
	 	 	5	1.69379e-08	2.66014e+11	8.92013e+06	0.000745105	0	-4.00638e-15
	 	 	6	1.41426e-08	2.66014e+11	8.92013e+06	0.000745105	0	-3.13542e-15
	 	 	7	4.9191e-09	2.66014e+11	8.92013e+06	0.000745105	0	-8.70951e-16
	 18	2.17653e-06	8.92013e+06	0.487335	0.873215	1.79182	0.000745105	1.79787e-16	-8.70951e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.66014e+11	8.92007e+06	0.000745105	0	-1.04514e-15
	 	 	2	1.51462e-06	2.66013e+11	8.92007e+06	0.000745105	0	-5.22571e-16
	 	 	3	5.05372e-07	2.66013e+11	8.92007e+06	0.000745105	0	1.7419e-16
	 	 	4	7.04323e-08	2.66013e+11	8.92007e+06	0.000745105	0	2.26447e-15
	 	 	5	1.26384e-08	2.66013e+11	8.92007e+06	0.000745105	0	-6.96761e-16
